soc_code,occupation_title,aioe_title,description,aei_score,risk_band
53-3031,Driver/Sales Workers,Driver/Sales Workers,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.",0.3149938963664308,Green
53-3032,Heavy and Tractor-Trailer Truck Drivers,"Truck Drivers, Heavy and Tractor-Trailer","Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers.",0.2514421939940932,Green
53-3033,Light Truck Drivers,"Truck Drivers, Light or Delivery Services","Drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver. May load and unload vehicle.",0.25207455351994845,Green
53-4011,Locomotive Engineers,Locomotive Engineers,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations.",0.3762900547302836,Yellow
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers","Rail Yard Engineers, Dinkey Operators, and Hostlers","Drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location.",0.2819262918480804,Green
53-4031,Railroad Conductors and Yardmasters,Railroad Conductors and Yardmasters,"Coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location. Conductors coordinate activities of train crew on passenger or freight trains. Yardmasters review train schedules and switching orders and coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains and yard switching.",0.38211576098581024,Yellow
53-4041,Subway and Streetcar Operators,Subway and Streetcar Operators,"Operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers. May handle fares.",0.34433962715075195,Yellow
53-5011,Sailors and Marine Oilers,Sailors and Marine Oilers,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen.",0.2427532391561841,Green
53-5021,"Captains, Mates, and Pilots of Water Vessels","Captains, Mates, and Pilots of Water Vessels","Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.",0.3170896485188767,Green
53-5022,Motorboat Operators,Motorboat Operators,Operate small motor-driven boats. May assist in navigational activities.,0.30903650883443606,Green
53-5031,Ship Engineers,Ship Engineers,"Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship.",0.3628854581566394,Yellow
53-6011,Bridge and Lock Tenders,Bridge and Lock Tenders,"Operate and tend bridges, canal locks, and lighthouses to permit marine passage on inland waterways, near shores, and at danger points in waterway passages. May supervise such operations. Includes drawbridge operators, lock operators, and slip bridge operators.",0.35248765555694517,Yellow
53-6021,Parking Attendants,Parking Lot Attendants,Park vehicles or issue tickets for customers in a parking lot or garage. May park or tend vehicles in environments such as a car dealership or rental car facility. May collect fee.,0.2947332208041307,Green
53-6031,Automotive and Watercraft Service Attendants,Service Station Attendants,"Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires.",0.24515523641973277,Green
53-6041,Traffic Technicians,Traffic Technicians,"Conduct field studies to determine traffic volume, speed, effectiveness of signals, adequacy of lighting, and other factors influencing traffic conditions, under direction of traffic engineer.",0.567838213046058,Yellow
53-6051,Transportation Inspectors,Transportation Inspectors,"Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transportation inspectors, such as freight inspectors, rail inspectors, and other inspectors of transportation vehicles not elsewhere classified.",0.4542310562116996,Yellow
53-6061,Passenger Attendants,"Transportation Attendants, Except Flight Attendants","Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel.",0.3994575861428594,Yellow
53-7011,Conveyor Operators and Tenders,Conveyor Operators and Tenders,"Control or tend conveyors or conveyor systems that move materials or products to and from stockpiles, processing stations, departments, or vehicles. May control speed and routing of materials or products.",0.32590524070191806,Green
53-7021,Crane and Tower Operators,Crane and Tower Operators,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions.",0.2771295380399803,Green
53-7031,Dredge Operators,Dredge Operators,"Operate dredge to remove sand, gravel, or other materials in order to excavate and maintain navigable channels in waterways.",0.27362033201861957,Green
53-7041,Hoist and Winch Operators,Hoist and Winch Operators,Operate or tend hoists or winches to lift and pull loads using power-operated cable equipment.,0.2951474322258257,Green
53-7051,Industrial Truck and Tractor Operators,Industrial Truck and Tractor Operators,"Operate industrial trucks or tractors equipped to move materials around a warehouse, storage yard, factory, construction site, or similar location.",0.22210339398677265,Green
53-7061,Cleaners of Vehicles and Equipment,Cleaners of Vehicles and Equipment,"Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses.",0.14856312472098396,Green
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","Laborers and Freight, Stock, and Material Movers, Hand","Manually move freight, stock, luggage, or other materials, or perform other general labor. Includes all manual laborers not elsewhere classified.",0.1851805422638769,Green
53-7063,Machine Feeders and Offbearers,Machine Feeders and Offbearers,Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.,0.2632443691043117,Green
53-7064,"Packers and Packagers, Hand","Packers and Packagers, Hand",Pack or package by hand a wide variety of products and materials.,0.19196950174195465,Green
53-7071,Gas Compressor and Gas Pumping Station Operators,Gas Compressor and Gas Pumping Station Operators,"Operate steam-, gas-, electric motor-, or internal combustion-engine driven compressors. Transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas.",0.33610680118302994,Yellow
53-7072,"Pump Operators, Except Wellhead Pumpers","Pump Operators, Except Wellhead Pumpers","Tend, control, or operate power-driven, stationary, or portable pumps and manifold systems to transfer gases, oil, other liquids, slurries, or powdered materials to and from various vessels and processes.",0.3049568609900053,Green
53-7073,Wellhead Pumpers,Wellhead Pumpers,Operate power pumps and auxiliary equipment to produce flow of oil or gas from wells in oil field.,0.25707133639217794,Green
53-7081,Refuse and Recyclable Material Collectors,Refuse and Recyclable Material Collectors,Collect and dump refuse or recyclable materials from containers into truck. May drive truck.,0.17690179083609617,Green
53-7121,"Tank Car, Truck, and Ship Loaders","Tank Car, Truck, and Ship Loaders","Load and unload chemicals and bulk solids, such as coal, sand, and grain, into or from tank cars, trucks, or ships, using material moving equipment. May perform a variety of other tasks relating to shipment of products. May gauge or sample shipping tanks and test them for leaks.",0.20936279986212777,Green
